published_timestamp,course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject,year,months,day,quarter,profit,duration_categroy,price_Cat
2013-04-20 02:25:22+00:00,49798,Bitcoin or How I Learned to Stop Worrying and Love Crypto,https://www.udemy.com/bitcoin-or-how-i-learned-to-stop-worrying-and-love-crypto/,False,0,65576,936,24,All Levels,8.0,2013-04-20 02:25:22+00:00,Business Finance,2013,April,Saturday,2,0,30+,Free
2013-04-22 18:19:38+00:00,50587,HTML & CSS From Scratch in 30 Days,https://www.udemy.com/html5-css3-responsive/,True,75,2697,64,82,Beginner Level,11.5,2013-04-22 18:19:38+00:00,Web Development,2013,April,Monday,2,202275,30+,55:100
2013-04-23 13:07:51+00:00,46933,Business Accounts For Managers,https://www.udemy.com/business-accounts-for-managers/,True,30,16,0,23,Beginner Level,3.0,2013-04-23 13:07:51+00:00,Business Finance,2013,April,Tuesday,2,480,12:20,20:50
2013-04-25 17:04:18+00:00,47004,Photoshop Course: Design an eBook Cover in Photoshop,https://www.udemy.com/ebook-cover-design/,True,50,11893,69,40,All Levels,3.0,2013-04-25 17:04:18+00:00,Graphic Design,2013,April,Thursday,2,594650,12:20,20:50
2013-05-02 11:38:58+00:00,51752,Just chords Piano: Learn to Play Piano Quickly - No Music,https://www.udemy.com/just-chords-piano/,True,85,2357,15,53,Beginner Level,5.0,2013-05-02 11:38:58+00:00,Musical Instruments,2013,May,Thursday,2,200345,20:30,55:100
2013-05-11 17:38:32+00:00,49553,Essential Skills for Designers - Masking,https://www.udemy.com/photoshop-masking/,True,45,646,30,25,All Levels,2.0,2013-05-11 17:38:32+00:00,Graphic Design,2013,May,Saturday,2,29070,7:12,20:50
2013-05-13 12:59:21+00:00,53549,Essential Skills for Designers - Mastering the Pen Tool,https://www.udemy.com/pen-tool/,True,45,387,24,24,All Levels,2.0,2013-05-13 12:59:21+00:00,Graphic Design,2013,May,Monday,2,17415,7:12,20:50
2013-05-13 12:59:44+00:00,53556,Essential Skills for Designers - Working with Type,https://www.udemy.com/working-with-type/,True,45,219,11,25,All Levels,2.0,2013-05-13 12:59:44+00:00,Graphic Design,2013,May,Monday,2,9855,7:12,20:50
2013-05-16 10:03:47+00:00,54246,3 documentos clave para administrar tu empresa con éxito,https://www.udemy.com/3-documentos-clave-para-administrar-tu-empresa-con-exito/,True,45,40,6,18,Intermediate Level,1.0,2013-05-16 10:03:47+00:00,Business Finance,2013,May,Thursday,2,1800,0:3,20:50
2013-05-19 01:51:44+00:00,54677,Revealed: Profitable Principles of Successful Traders ,https://www.udemy.com/revealed-profitable-secrets-of-successful-traders/,True,25,1046,5,26,All Levels,3.0,2013-05-19 01:51:44+00:00,Business Finance,2013,May,Sunday,2,26150,12:20,20:50
2013-05-20 09:36:54+00:00,37684,Learn To Program JavaScript (in ten easy steps),https://www.udemy.com/learn-to-program-javascript-in-ten-easy-steps/,True,75,2721,96,44,Beginner Level,5.5,2013-05-20 09:36:54+00:00,Web Development,2013,May,Monday,2,204075,20:30,55:100
2013-05-24 17:42:25+00:00,56058,Surpassing Your Kickstarter Goals,https://www.udemy.com/surpassing-your-kickstarter-goals/,True,30,124,7,12,All Levels,1.0,2013-05-24 17:42:25+00:00,Business Finance,2013,May,Friday,2,3720,0:3,20:50
2013-05-26 14:14:33+00:00,55136,Precious Metal Equities,https://www.udemy.com/precious-metal-equities/,True,20,28,1,8,All Levels,1.0,2013-05-26 14:14:33+00:00,Business Finance,2013,May,Sunday,2,560,0:3,20:50
